"","Route","StateNum","matssname","complete","n_missing","prop_missing","n_possible_years","CountryNum","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID"
"119",61,34,"bbs_rtrg_61_34",TRUE,0,0,49,840,"BELKNAP",1,37.3198861,-88.9437782,14,24,1,1
"120",65,34,"bbs_rtrg_65_34",TRUE,0,0,26,840,"SHANNON",1,42.1401616,-89.7648861,17,22,1,1
"121",66,34,"bbs_rtrg_66_34",TRUE,0,0,26,840,"CALEDONIA",1,42.3994754,-88.9154674,16,22,1,1
"122",67,34,"bbs_rtrg_67_34",TRUE,0,0,26,840,"SHERRARD",1,41.3410603,-90.5307719,32,22,1,1
"123",70,34,"bbs_rtrg_70_34",TRUE,0,0,26,840,"CAMP POINT",1,40.0572405,-91.1273048,31,22,1,1
"124",71,34,"bbs_rtrg_71_34",TRUE,0,0,26,840,"DUNCAN MILLS",1,40.3045239,-90.1357207,31,22,1,1
"125",79,34,"bbs_rtrg_79_34",TRUE,0,0,26,840,"BROWNVILLE",1,38.0393916,-88.2081104,31,24,1,1
"126",80,34,"bbs_rtrg_80_34",TRUE,0,0,26,840,"SANDUSKY",1,37.2026548,-89.274296,14,24,1,1
"127",302,34,"bbs_rtrg_302_34",TRUE,0,0,18,840,"LAKE SUMMERSET",1,42.4617907,-89.3817229,17,22,1,1
"128",304,34,"bbs_rtrg_304_34",TRUE,0,0,18,840,"KEITHSBURG",1,41.0847167,-90.9006359,32,22,1,1
"129",312,34,"bbs_rtrg_312_34",TRUE,0,0,18,840,"CONCORD WEST",1,39.8173797,-90.4058819,31,22,1,1
"130",317,34,"bbs_rtrg_317_34",TRUE,0,0,13,840,"KELL",1,38.4982149,-88.8800235,31,22,1,1
"131",318,34,"bbs_rtrg_318_34",TRUE,0,0,18,840,"ROYALTON",1,37.8620527,-89.0775209,31,24,1,1
"132",10,35,"bbs_rtrg_10_35",TRUE,0,0,52,840,"FOWLER",1,40.6790779,-87.3633993,31,22,1,1
"133",11,35,"bbs_rtrg_11_35",TRUE,0,0,38,840,"W LAFAYETTE",1,40.4076491,-87.0361216,31,22,1,1
"134",13,35,"bbs_rtrg_13_35",TRUE,0,0,38,840,"GALVESTON",1,40.5842651,-86.1842198,31,22,1,1
"135",14,35,"bbs_rtrg_14_35",TRUE,0,0,37,840,"THORNTOWN",1,40.1495187,-86.6959256,31,22,1,1
"136",201,35,"bbs_rtrg_201_35",TRUE,0,0,14,840,"PORTAGE 2",1,41.5361624,-87.1967394,16,22,1,1
"137",306,35,"bbs_rtrg_306_35",TRUE,0,0,20,840,"FRANKFORT",1,40.1985767,-86.4502189,31,22,1,1
"138",313,35,"bbs_rtrg_313_35",TRUE,0,0,20,840,"NEWBERRY",1,39.125475,-87.0543672,15,24,1,1
"139",314,35,"bbs_rtrg_314_35",TRUE,0,0,20,840,"GEORGIA",1,38.7671667,-86.5484989,14,24,1,1
"140",315,35,"bbs_rtrg_315_35",TRUE,0,0,20,840,"CROSS PLAINS",1,38.9509067,-85.1623379,15,24,1,1
"141",316,35,"bbs_rtrg_316_35",TRUE,0,0,13,840,"CYPRSS",1,37.9142237,-87.6297459,15,24,1,1
"142",2,36,"bbs_rtrg_2_36",TRUE,0,0,45,840,"EXLINE",1,40.6527332,-92.8864804,32,22,1,1
"143",6,36,"bbs_rtrg_6_36",TRUE,0,0,52,840,"BRYANT",1,41.9751747,-90.2964159,32,22,1,1
"144",105,36,"bbs_rtrg_105_36",TRUE,0,0,14,840,"COLLEGE SPGS 2",1,40.6242636,-95.1259581,32,22,1,1
"145",14,38,"bbs_rtrg_14_38",TRUE,0,0,52,840,"DOVER",1,38.9715017,-95.9097289,33,22,1,1
"146",15,38,"bbs_rtrg_15_38",TRUE,0,0,52,840,"BARCLAY",1,38.5354618,-95.8576087,33,22,1,1
"147",302,38,"bbs_rtrg_302_38",TRUE,0,0,19,840,"Morehead",1,37.3690207,-95.4488589,33,22,1,1
"148",304,38,"bbs_rtrg_304_38",TRUE,0,0,19,840,"Berwet",1,37.7959759,-97.4634159,35,19,1,1
"149",307,38,"bbs_rtrg_307_38",TRUE,0,0,19,840,"Plymell",1,37.8296057,-100.8706786,36,18,1,1
"150",311,38,"bbs_rtrg_311_38",TRUE,0,0,17,840,"Lincolnville",1,38.5224225,-96.9117521,35,22,1,1
"151",312,38,"bbs_rtrg_312_38",TRUE,0,0,19,840,"Goessel",1,38.2039494,-97.2078887,35,19,1,1
"152",315,38,"bbs_rtrg_315_38",TRUE,0,0,19,840,"Grigston",1,38.4682058,-100.7232236,36,18,1,1
"153",317,38,"bbs_rtrg_317_38",TRUE,0,0,19,840,"Severance",1,39.7839097,-95.2272709,32,22,1,1
"154",8,39,"bbs_rtrg_8_39",TRUE,0,0,13,840,"SULPHUR LICK",1,36.8194377,-85.7169959,14,24,1,1
"155",37,39,"bbs_rtrg_37_39",TRUE,0,0,13,840,"SHELBYVILLE",0,38.2768507,-85.2054969,15,24,1,1
"156",118,39,"bbs_rtrg_118_39",TRUE,0,0,13,840,"Beattyville 2",1,37.6333333,-83.8,21,28,1,1
"157",146,39,"bbs_rtrg_146_39",TRUE,0,0,13,840,"KEHOE 2",1,38.4390546,-82.9964384,22,28,1,1
"158",11,42,"bbs_rtrg_11_42",TRUE,0,0,47,840,"KEYSTONE",1,30.0641124,-91.8208203,6,26,1,1
"159",101,42,"bbs_rtrg_101_42",TRUE,0,0,28,840,"BELAIR",1,29.6924898,-89.9669461,5,26,1,1
"160",6,44,"bbs_rtrg_6_44",TRUE,0,0,35,840,"WILSON MILLS",1,44.9258167,-70.9579919,28,14,1,1
"161",117,44,"bbs_rtrg_117_44",TRUE,0,0,20,840,"JEFFERSON",1,44.1209917,-69.2527839,27,14,1,1
"162",120,44,"bbs_rtrg_120_44",TRUE,0,0,27,840,"CHURCH HILL",1,44.5995807,-69.5425659,27,14,1,1
"163",304,44,"bbs_rtrg_304_44",TRUE,0,0,11,840,"LAKE MOXIE",1,45.4140603,-69.8804671,28,14,1,1
"164",2,46,"bbs_rtrg_2_46",TRUE,0,0,23,840,"MT NEBO",0,39.5398737,-79.1657189,24,28,1,1
"165",5,46,"bbs_rtrg_5_46",TRUE,0,0,49,840,"POTOMAC PARK",1,39.6151476,-78.8123259,13,28,1,1
"166",10,46,"bbs_rtrg_10_46",TRUE,0,0,24,840,"SILVER SPG",0,39.0309157,-77.0157189,10,29,1,1
"167",13,46,"bbs_rtrg_13_46",TRUE,0,0,53,840,"WARFIELDSBRG",1,39.516536,-77.0384304,10,29,1,1
"168",14,46,"bbs_rtrg_14_46",TRUE,0,0,52,840,"PLEASANT VAL",1,39.6423121,-77.0236228,10,29,1,1
"169",16,46,"bbs_rtrg_16_46",TRUE,0,0,52,840,"FOWBLESBURG",1,39.5515705,-76.8137896,10,29,1,1
"170",19,46,"bbs_rtrg_19_46",TRUE,0,0,43,840,"UPPER XRDS",0,39.5386386,-76.4856444,10,29,1,1
"171",26,46,"bbs_rtrg_26_46",TRUE,0,0,24,840,"PT REPUBLIC",0,38.5016307,-76.5747889,4,30,1,1
"172",28,46,"bbs_rtrg_28_46",TRUE,0,0,44,840,"LA PLATA",0,38.5584741,-76.972877,4,30,1,1
"173",30,46,"bbs_rtrg_30_46",TRUE,0,0,52,840,"POMONKEY",1,38.6021387,-77.0780349,4,30,1,1
"174",32,46,"bbs_rtrg_32_46",TRUE,0,0,48,840,"THEODORE",1,39.628083,-76.00685,10,29,1,1
"175",47,46,"bbs_rtrg_47_46",TRUE,0,0,53,840,"COKESBURY",1,38.1651924,-75.5797027,4,30,1,1
"176",55,46,"bbs_rtrg_55_46",TRUE,0,0,24,840,"PINEY GROVE",1,39.6919359,-78.4102428,13,28,1,1
"177",102,46,"bbs_rtrg_102_46",TRUE,0,0,26,840,"ACCIDENT",0,39.5399409,-79.1662387,24,28,1,1
"178",123,46,"bbs_rtrg_123_46",TRUE,0,0,37,840,"DAVIDSNVILLE",1,38.9888945,-76.6695275,4,30,1,1
"179",124,46,"bbs_rtrg_124_46",TRUE,0,0,14,840,"NOTTINGHAM",1,38.7166667,-76.8166667,4,30,1,1
"180",18,47,"bbs_rtrg_18_47",TRUE,0,0,47,840,"CUMMINGTON",0,42.4645579,-72.9055765,27,14,1,1
"181",20,47,"bbs_rtrg_20_47",TRUE,0,0,26,840,"CHESHIRE",0,42.5757027,-73.2225169,27,14,1,1
"182",34,49,"bbs_rtrg_34_49",TRUE,0,0,21,840,"BELDING",0,43.1120407,-85.1933829,16,23,1,1
"183",66,49,"bbs_rtrg_66_49",TRUE,0,0,26,840,"S LYONS",0,42.4612927,-83.6658459,16,23,1,1
