"k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps","dataset"
5,6,4,100,20,-65.1968227594731,2,"236, 61","all_evals_toy_rodents"
5,6,4,100,20,-44.6095937291664,2,"167, 379","all_evals_toy_rodents"
5,6,4,100,20,-71.8117940270583,2,"250, 215","all_evals_toy_rodents"
5,6,4,100,20,-88.3833596354348,2,"253, 359","all_evals_toy_rodents"
5,6,4,100,20,-60.2206729273782,2,"165, 363","all_evals_toy_rodents"
5,6,4,100,20,-49.4838490594372,2,"267, 301","all_evals_toy_rodents"
5,6,4,100,20,-91.9222232794353,2,"342, 35","all_evals_toy_rodents"
5,6,4,100,20,-49.5976348929292,2,"331, 376","all_evals_toy_rodents"
5,6,4,100,20,-56.8577590638198,2,"418, 411","all_evals_toy_rodents"
5,6,4,100,20,-54.7355343859415,2,"364, 66","all_evals_toy_rodents"
5,6,4,100,20,-88.6903794402337,2,"359, 296","all_evals_toy_rodents"
5,6,4,100,20,-56.4176430523214,2,"171, 246","all_evals_toy_rodents"
5,6,4,100,20,-51.9171640320901,2,"214, 93","all_evals_toy_rodents"
5,6,4,100,20,-78.8373806435743,2,"303, 219","all_evals_toy_rodents"
5,6,4,100,20,-37.6544847382818,2,"313, 38","all_evals_toy_rodents"
5,6,4,100,20,-51.6745534585883,2,"54, 285","all_evals_toy_rodents"
5,6,4,100,20,-59.8482892434011,2,"94, 176","all_evals_toy_rodents"
6,6,4,100,20,-57.9655345796277,2,"296, 246","all_evals_toy_rodents"
6,6,4,100,20,-61.6623363153929,2,"344, 227","all_evals_toy_rodents"
6,6,4,100,20,-113.747494171588,2,"434, 212","all_evals_toy_rodents"
6,6,4,100,20,-69.9837026133562,2,"236, 61","all_evals_toy_rodents"
6,6,4,100,20,-41.2713294805657,2,"167, 379","all_evals_toy_rodents"
6,6,4,100,20,-58.292969028892,2,"250, 215","all_evals_toy_rodents"
6,6,4,100,20,-85.1659096957887,2,"253, 359","all_evals_toy_rodents"
6,6,4,100,20,-61.9273805507275,2,"165, 363","all_evals_toy_rodents"
6,6,4,100,20,-60.8172701709971,2,"267, 301","all_evals_toy_rodents"
6,6,4,100,20,-87.9480079629657,2,"342, 35","all_evals_toy_rodents"
6,6,4,100,20,-48.5216262065907,2,"331, 376","all_evals_toy_rodents"
6,6,4,100,20,-68.7779976414405,2,"418, 411","all_evals_toy_rodents"
6,6,4,100,20,-57.0524245008211,2,"364, 66","all_evals_toy_rodents"
6,6,4,100,20,-87.9943718611199,2,"359, 296","all_evals_toy_rodents"
6,6,4,100,20,-54.5492151639358,2,"171, 246","all_evals_toy_rodents"
6,6,4,100,20,-40.2700736446595,2,"214, 93","all_evals_toy_rodents"
6,6,4,100,20,-86.0451143049513,2,"303, 219","all_evals_toy_rodents"
6,6,4,100,20,-37.5849016395585,2,"313, 38","all_evals_toy_rodents"
6,6,4,100,20,-53.1979905827394,2,"54, 285","all_evals_toy_rodents"
6,6,4,100,20,-56.5031349765478,2,"94, 176","all_evals_toy_rodents"
7,6,4,100,20,-70.2105790055845,2,"296, 246","all_evals_toy_rodents"
7,6,4,100,20,-57.8329204697047,2,"344, 227","all_evals_toy_rodents"
7,6,4,100,20,-111.589532077433,2,"434, 212","all_evals_toy_rodents"
7,6,4,100,20,-62.7919860490373,2,"236, 61","all_evals_toy_rodents"
7,6,4,100,20,-46.5565022903424,2,"167, 379","all_evals_toy_rodents"
7,6,4,100,20,-54.7569125620343,2,"250, 215","all_evals_toy_rodents"
7,6,4,100,20,-83.7398923656632,2,"253, 359","all_evals_toy_rodents"
7,6,4,100,20,-65.6272162335797,2,"165, 363","all_evals_toy_rodents"
7,6,4,100,20,-58.6999237250597,2,"267, 301","all_evals_toy_rodents"
7,6,4,100,20,-91.0360602057561,2,"342, 35","all_evals_toy_rodents"
7,6,4,100,20,-50.309677796463,2,"331, 376","all_evals_toy_rodents"
7,6,4,100,20,-61.7457530404748,2,"418, 411","all_evals_toy_rodents"
7,6,4,100,20,-58.9066330418339,2,"364, 66","all_evals_toy_rodents"
7,6,4,100,20,-89.1161351859329,2,"359, 296","all_evals_toy_rodents"
7,6,4,100,20,-49.9759317583608,2,"171, 246","all_evals_toy_rodents"
7,6,4,100,20,-42.1123335650575,2,"214, 93","all_evals_toy_rodents"
7,6,4,100,20,-73.4599193845974,2,"303, 219","all_evals_toy_rodents"
7,6,4,100,20,-38.684169863395,2,"313, 38","all_evals_toy_rodents"
7,6,4,100,20,-55.4209502825796,2,"54, 285","all_evals_toy_rodents"
7,6,4,100,20,-51.4723282071415,2,"94, 176","all_evals_toy_rodents"
8,6,5,100,20,-68.2064701643109,2,"296, 246","all_evals_toy_rodents"
8,6,5,100,20,-67.4290591233769,2,"344, 227","all_evals_toy_rodents"
8,6,5,100,20,-116.029956955942,2,"434, 212","all_evals_toy_rodents"
8,6,5,100,20,-66.4362998866446,2,"236, 61","all_evals_toy_rodents"
8,6,5,100,20,-44.5835236749019,2,"167, 379","all_evals_toy_rodents"
8,6,5,100,20,-49.3842346975467,2,"250, 215","all_evals_toy_rodents"
8,6,5,100,20,-91.0555002121099,2,"253, 359","all_evals_toy_rodents"
8,6,5,100,20,-62.5535286961316,2,"165, 363","all_evals_toy_rodents"
8,6,5,100,20,-50.15137647571,2,"267, 301","all_evals_toy_rodents"
8,6,5,100,20,-95.0637996587798,2,"342, 35","all_evals_toy_rodents"
8,6,5,100,20,-50.2047425886142,2,"331, 376","all_evals_toy_rodents"
8,6,5,100,20,-52.4878696478566,2,"418, 411","all_evals_toy_rodents"
8,6,5,100,20,-58.5585680876974,2,"364, 66","all_evals_toy_rodents"
8,6,5,100,20,-91.166872951038,2,"359, 296","all_evals_toy_rodents"
8,6,5,100,20,-44.0697899136861,2,"171, 246","all_evals_toy_rodents"
8,6,5,100,20,-42.0657878352016,2,"214, 93","all_evals_toy_rodents"
8,6,5,100,20,-76.8332680444686,2,"303, 219","all_evals_toy_rodents"
8,6,5,100,20,-37.0323161696442,2,"313, 38","all_evals_toy_rodents"
8,6,5,100,20,-54.8317803108961,2,"54, 285","all_evals_toy_rodents"
8,6,5,100,20,-55.4596872880099,2,"94, 176","all_evals_toy_rodents"
2,8,3,100,20,-83.0167368967723,2,"296, 246","all_evals_toy_rodents"
2,8,3,100,20,-63.1983598169835,2,"344, 227","all_evals_toy_rodents"
2,8,3,100,20,-131.550790632514,2,"434, 212","all_evals_toy_rodents"
2,8,3,100,20,-70.1998420737846,2,"236, 61","all_evals_toy_rodents"
2,8,3,100,20,-37.123620709982,2,"167, 379","all_evals_toy_rodents"
2,8,3,100,20,-66.5768449938541,2,"250, 215","all_evals_toy_rodents"
2,8,3,100,20,-83.6772462139131,2,"253, 359","all_evals_toy_rodents"
2,8,3,100,20,-60.9324857048178,2,"165, 363","all_evals_toy_rodents"
2,8,3,100,20,-55.4529325774002,2,"267, 301","all_evals_toy_rodents"
2,8,3,100,20,-88.3443129656681,2,"342, 35","all_evals_toy_rodents"
2,8,3,100,20,-55.8759047982397,2,"331, 376","all_evals_toy_rodents"
2,8,3,100,20,-84.6372415559632,2,"418, 411","all_evals_toy_rodents"
2,8,3,100,20,-50.8517273556871,2,"364, 66","all_evals_toy_rodents"
2,8,3,100,20,-100.440118396599,2,"359, 296","all_evals_toy_rodents"
2,8,3,100,20,-63.9625924763626,2,"171, 246","all_evals_toy_rodents"
2,8,3,100,20,-49.412985521488,2,"214, 93","all_evals_toy_rodents"
2,8,3,100,20,-79.8323108822072,2,"303, 219","all_evals_toy_rodents"
2,8,3,100,20,-51.8808678312577,2,"313, 38","all_evals_toy_rodents"
2,8,3,100,20,-57.8767856544222,2,"54, 285","all_evals_toy_rodents"
2,8,3,100,20,-54.5681089865534,2,"94, 176","all_evals_toy_rodents"
3,8,3,100,20,-68.1823101045448,2,"296, 246","all_evals_toy_rodents"
3,8,3,100,20,-64.9703254673915,2,"344, 227","all_evals_toy_rodents"
3,8,3,100,20,-126.183552679236,2,"434, 212","all_evals_toy_rodents"
3,8,3,100,20,-61.08635700758,2,"236, 61","all_evals_toy_rodents"
3,8,3,100,20,-38.3167048653023,2,"167, 379","all_evals_toy_rodents"
3,8,3,100,20,-58.9071720253871,2,"250, 215","all_evals_toy_rodents"
3,8,3,100,20,-81.5539109452676,2,"253, 359","all_evals_toy_rodents"
3,8,3,100,20,-64.1251625677751,2,"165, 363","all_evals_toy_rodents"
3,8,3,100,20,-57.9660712997798,2,"267, 301","all_evals_toy_rodents"
3,8,3,100,20,-87.5666348438351,2,"342, 35","all_evals_toy_rodents"
3,8,3,100,20,-55.5799346027218,2,"331, 376","all_evals_toy_rodents"
3,8,3,100,20,-82.7238632681968,2,"418, 411","all_evals_toy_rodents"
3,8,3,100,20,-50.639830692735,2,"364, 66","all_evals_toy_rodents"
3,8,3,100,20,-97.3665394859644,2,"359, 296","all_evals_toy_rodents"
3,8,3,100,20,-49.5198648404045,2,"171, 246","all_evals_toy_rodents"
3,8,3,100,20,-47.9160434574317,2,"214, 93","all_evals_toy_rodents"
3,8,3,100,20,-77.3132444045884,2,"303, 219","all_evals_toy_rodents"
3,8,3,100,20,-47.1296241855206,2,"313, 38","all_evals_toy_rodents"
3,8,3,100,20,-51.8003283656214,2,"54, 285","all_evals_toy_rodents"
3,8,3,100,20,-60.5031297624732,2,"94, 176","all_evals_toy_rodents"
4,8,5,100,20,-69.5456453905887,2,"296, 246","all_evals_toy_rodents"
4,8,5,100,20,-56.0102666058419,2,"344, 227","all_evals_toy_rodents"
4,8,5,100,20,-127.137162042506,2,"434, 212","all_evals_toy_rodents"
4,8,5,100,20,-63.8291294317154,2,"236, 61","all_evals_toy_rodents"
4,8,5,100,20,-41.465989742916,2,"167, 379","all_evals_toy_rodents"
4,8,5,100,20,-58.9307390684889,2,"250, 215","all_evals_toy_rodents"
4,8,5,100,20,-78.8251395705732,2,"253, 359","all_evals_toy_rodents"
4,8,5,100,20,-60.6749070522159,2,"165, 363","all_evals_toy_rodents"
4,8,5,100,20,-51.5721523412822,2,"267, 301","all_evals_toy_rodents"
4,8,5,100,20,-99.0265374029275,2,"342, 35","all_evals_toy_rodents"
4,8,5,100,20,-50.5864544394255,2,"331, 376","all_evals_toy_rodents"
4,8,5,100,20,-58.4066740624357,2,"418, 411","all_evals_toy_rodents"
4,8,5,100,20,-53.8937982958091,2,"364, 66","all_evals_toy_rodents"
4,8,5,100,20,-81.3536928111472,2,"359, 296","all_evals_toy_rodents"
4,8,5,100,20,-43.7399722563683,2,"171, 246","all_evals_toy_rodents"
4,8,5,100,20,-46.6504503379179,2,"214, 93","all_evals_toy_rodents"
4,8,5,100,20,-71.7874651357373,2,"303, 219","all_evals_toy_rodents"
4,8,5,100,20,-41.5089749802481,2,"313, 38","all_evals_toy_rodents"
4,8,5,100,20,-49.0722395176219,2,"54, 285","all_evals_toy_rodents"
4,8,5,100,20,-52.1775594028622,2,"94, 176","all_evals_toy_rodents"
5,8,5,100,20,-70.4238079723331,2,"296, 246","all_evals_toy_rodents"
5,8,5,100,20,-57.8861386361457,2,"344, 227","all_evals_toy_rodents"
5,8,5,100,20,-109.940378272024,2,"434, 212","all_evals_toy_rodents"
5,8,5,100,20,-64.6394710667876,2,"236, 61","all_evals_toy_rodents"
5,8,5,100,20,-42.0603601767927,2,"167, 379","all_evals_toy_rodents"
5,8,5,100,20,-62.7188323001002,2,"250, 215","all_evals_toy_rodents"
5,8,5,100,20,-86.1501627792238,2,"253, 359","all_evals_toy_rodents"
