"","k","seed","ncpts","nit","aicc"
"2032",3,92,1,100,48.6577643409805
"2033",4,92,1,100,70.322494946809
"2034",5,92,1,100,86.3185032429722
"2035",6,92,1,100,107.459385359896
"2036",7,92,1,100,137.229599708574
"2037",8,92,1,100,175.585277060558
"2038",9,92,1,100,234.365052176277
"2039",10,92,1,100,375.638154682593
"2040",11,92,1,100,1054.83143253903
"2041",12,92,1,100,-965.757428513004
"2042",13,92,1,100,-286.294102570362
"2043",14,92,1,100,-146.856876901645
"2044",15,92,1,100,-86.5299893095166
"2045",2,94,1,100,32.7013316791639
"2046",3,94,1,100,46.7935916504802
"2047",4,94,1,100,69.1877706678921
"2048",5,94,1,100,89.6493270279245
"2049",6,94,1,100,111.974058353714
"2050",7,94,1,100,137.319907206398
"2051",8,94,1,100,177.49499056224
"2052",9,94,1,100,238.077605016244
"2053",10,94,1,100,378.956724274509
"2054",11,94,1,100,1050.24097360598
"2055",12,94,1,100,-967.852635723977
"2056",13,94,1,100,-289.659666528919
"2057",14,94,1,100,-152.404807520797
"2058",15,94,1,100,-92.5162641068466
"2059",2,96,1,100,32.459717356715
"2060",3,96,1,100,51.984178707574
"2061",4,96,1,100,67.8231100103039
"2062",5,96,1,100,86.1059235114438
"2063",6,96,1,100,110.383950633259
"2064",7,96,1,100,137.331253419849
"2065",8,96,1,100,175.133094439996
"2066",9,96,1,100,240.014520591092
"2067",10,96,1,100,379.217321748459
"2068",11,96,1,100,1057.13433443823
"2069",12,96,1,100,-962.447134932108
"2070",13,96,1,100,-284.594316483371
"2071",14,96,1,100,-149.058437263048
"2072",15,96,1,100,-87.8454830584817
"2073",2,98,1,100,35.4324344149105
"2074",3,98,1,100,47.2170851913794
"2075",4,98,1,100,65.0361555244975
"2076",5,98,1,100,88.4758953952821
"2077",6,98,1,100,110.513324417921
"2078",7,98,1,100,135.667905518287
"2079",8,98,1,100,175.052418147934
"2080",9,98,1,100,237.193871906255
"2081",10,98,1,100,373.876765874497
"2082",11,98,1,100,1054.44656178228
"2083",12,98,1,100,-964.514314741451
"2084",13,98,1,100,-286.334636775441
"2085",14,98,1,100,-148.750511070523
"2086",15,98,1,100,-86.2052794195808
"2087",2,100,1,100,31.0440259205047
"2088",3,100,1,100,51.6222189832038
"2089",4,100,1,100,67.9765673352578
"2090",5,100,1,100,88.6918201667658
"2091",6,100,1,100,104.753646311932
"2092",7,100,1,100,132.699600316031
"2093",8,100,1,100,174.457736774039
"2094",9,100,1,100,236.936396205136
"2095",10,100,1,100,372.668832303242
"2096",11,100,1,100,1056.43828183045
"2097",12,100,1,100,-964.267605038477
"2098",13,100,1,100,-288.282640359439
"2099",14,100,1,100,-149.983121531627
"2100",15,100,1,100,-91.260239093355
"2101",2,102,1,100,32.0704339673582
"2102",3,102,1,100,47.2910668025857
"2103",4,102,1,100,68.157189917511
"2104",5,102,1,100,90.2895706761818
"2105",6,102,1,100,109.531256929981
"2106",7,102,1,100,138.49618210067
"2107",8,102,1,100,172.974600308656
"2108",9,102,1,100,235.741779574216
"2109",10,102,1,100,375.42094040507
"2110",11,102,1,100,1055.06929117285
"2111",12,102,1,100,-966.235643477926
"2112",13,102,1,100,-290.508289945547
"2113",14,102,1,100,-150.37438413294
"2114",15,102,1,100,-91.4628560637367
"2115",2,104,1,100,29.786175373533
"2116",3,104,1,100,52.0370263957305
"2117",4,104,1,100,70.2251907733157
"2118",5,104,1,100,90.0960138752027
"2119",6,104,1,100,110.876645882623
"2120",7,104,1,100,137.79094781264
"2121",8,104,1,100,171.857522143888
"2122",9,104,1,100,234.746003614961
"2123",10,104,1,100,376.208671850384
"2124",11,104,1,100,1055.83215769391
"2125",12,104,1,100,-966.579532553535
"2126",13,104,1,100,-288.292682924983
"2127",14,104,1,100,-150.297135456454
"2128",15,104,1,100,-88.8775163645328
"2129",2,106,1,100,26.3458305154446
"2130",3,106,1,100,48.0904785054774
"2131",4,106,1,100,68.7176932517303
"2132",5,106,1,100,86.302973019306
"2133",6,106,1,100,109.579402303856
"2134",7,106,1,100,136.081688142231
"2135",8,106,1,100,172.288812686193
"2136",9,106,1,100,234.676339759175
"2137",10,106,1,100,375.432472525606
"2138",11,106,1,100,1052.88059906155
"2139",12,106,1,100,-962.506833425051
"2140",13,106,1,100,-285.537896037326
"2141",14,106,1,100,-149.658775336998
"2142",15,106,1,100,-89.494921436848
"2143",2,108,1,100,29.196798484515
"2144",3,108,1,100,47.0729566440244
"2145",4,108,1,100,65.4658043564248
"2146",5,108,1,100,85.0678477794729
"2147",6,108,1,100,108.486936605041
"2148",7,108,1,100,135.763162843689
"2149",8,108,1,100,173.605933236745
"2150",9,108,1,100,239.77760770637
"2151",10,108,1,100,376.714478952262
"2152",11,108,1,100,1051.88263606663
"2153",12,108,1,100,-967.554707690856
"2154",13,108,1,100,-287.492392855744
"2155",14,108,1,100,-148.77892322519
"2156",15,108,1,100,-88.8134546181364
"2157",2,110,1,100,29.7277068482403
"2158",3,110,1,100,50.6001427454219
"2159",4,110,1,100,70.3189582667591
"2160",5,110,1,100,88.0771047551143
"2161",6,110,1,100,106.350138597149
