"","loglik","k","seed","cpts","nit"
"396",-24607.8387832128,5,2,0,100
"397",-27243.8417278095,5,2,0,100
"398",-24548.8257382587,5,2,0,100
"399",-29336.3357137158,5,2,0,100
"400",-23140.8844626184,5,2,0,100
"401",-45633.9864135366,10,2,0,100
"402",-37911.9160671053,10,2,0,100
"403",-44915.4682253714,10,2,0,100
"404",-62000.5706632918,10,2,0,100
"405",-56433.1948609055,10,2,0,100
"406",-52323.1127741205,10,2,0,100
"407",-45500.0810907828,10,2,0,100
"408",-51942.5611799655,10,2,0,100
"409",-61046.1522307383,10,2,0,100
"410",-45414.7537142649,10,2,0,100
"411",-50283.2882885965,10,2,0,100
"412",-48401.3496806339,10,2,0,100
"413",-52688.9196637668,10,2,0,100
"414",-54270.6684006896,10,2,0,100
"415",-59195.9775697705,10,2,0,100
"416",-52050.6171042941,10,2,0,100
"417",-44655.0380750437,10,2,0,100
"418",-42906.2978902246,10,2,0,100
"419",-57606.3002523754,10,2,0,100
"420",-56173.293211388,10,2,0,100
"421",-60535.436741246,10,2,0,100
"422",-35493.7904009469,10,2,0,100
"423",-66877.8280875082,10,2,0,100
"424",-46324.6929010824,10,2,0,100
"425",-47575.9630125652,10,2,0,100
"426",-44707.5819980225,10,2,0,100
"427",-57207.9379356994,10,2,0,100
"428",-48367.5329870554,10,2,0,100
"429",-45216.8245902977,10,2,0,100
"430",-50848.005400702,10,2,0,100
"431",-65286.6642700549,10,2,0,100
"432",-45257.5249410906,10,2,0,100
"433",-50214.5715610519,10,2,0,100
"434",-50331.0972456958,10,2,0,100
"435",-41333.4537503522,10,2,0,100
"436",-42549.0342228891,10,2,0,100
"437",-47939.7462834731,10,2,0,100
"438",-56343.9814770108,10,2,0,100
"439",-47899.1663662296,10,2,0,100
"440",-45974.8441717195,10,2,0,100
"441",-51435.9669312502,10,2,0,100
"442",-46931.5282539857,10,2,0,100
"443",-54637.479715697,10,2,0,100
"444",-41958.228193595,10,2,0,100
"445",-44641.7887437672,10,2,0,100
"446",-54303.1922623776,10,2,0,100
"447",-43221.3699204563,10,2,0,100
"448",-47412.3989892216,10,2,0,100
"449",-47051.7123949026,10,2,0,100
"450",-61086.4079467544,10,2,0,100
"451",-53987.9848272833,10,2,0,100
"452",-59042.5637471758,10,2,0,100
"453",-50459.013731485,10,2,0,100
"454",-50047.7449527096,10,2,0,100
"455",-44692.1761915478,10,2,0,100
"456",-53037.3054541502,10,2,0,100
"457",-65160.584053979,10,2,0,100
"458",-48050.6101514384,10,2,0,100
"459",-59611.5984310348,10,2,0,100
"460",-54606.5272253357,10,2,0,100
"461",-56607.2469369266,10,2,0,100
"462",-49871.4066645563,10,2,0,100
"463",-62159.5419275327,10,2,0,100
"464",-42996.8530714191,10,2,0,100
"465",-57587.4156437815,10,2,0,100
"466",-55885.2443685138,10,2,0,100
"467",-49706.696648705,10,2,0,100
"468",-57841.8037562024,10,2,0,100
"469",-52357.089570268,10,2,0,100
"470",-52695.6108460243,10,2,0,100
"471",-44499.6257338795,10,2,0,100
"472",-48308.7351517913,10,2,0,100
"473",-59733.591675746,10,2,0,100
"474",-54957.2019650651,10,2,0,100
"475",-32934.0744671889,10,2,0,100
"476",-54713.3063606417,10,2,0,100
"477",-51803.1770264392,10,2,0,100
"478",-73696.785757326,10,2,0,100
"479",-72087.1135059802,10,2,0,100
"480",-56804.0458201963,10,2,0,100
"481",-45387.6677301634,10,2,0,100
"482",-43968.0110389463,10,2,0,100
"483",-48879.012524466,10,2,0,100
"484",-63740.1167045673,10,2,0,100
"485",-53869.7765696735,10,2,0,100
"486",-56202.2879746189,10,2,0,100
"487",-58466.6816859112,10,2,0,100
"488",-44820.1004989471,10,2,0,100
"489",-53108.3228861465,10,2,0,100
"490",-52299.6337403092,10,2,0,100
"491",-57261.8987999974,10,2,0,100
"492",-41350.8995463483,10,2,0,100
"493",-48921.7273349097,10,2,0,100
"494",-40470.3569223801,10,2,0,100
"495",-50254.3515496425,10,2,0,100
"496",-58223.5348608001,10,2,0,100
"497",-46285.2942211992,10,2,0,100
"498",-48005.3956766126,10,2,0,100
"499",-53294.2336001393,10,2,0,100
"500",-62064.6687714713,10,2,0,100
"501",-53055.5155837305,11,2,0,100
"502",-70510.639533107,11,2,0,100
"503",-77373.813082063,11,2,0,100
"504",-67368.0803584007,11,2,0,100
"505",-70675.9616142445,11,2,0,100
"506",-64216.8653947378,11,2,0,100
"507",-60537.823916667,11,2,0,100
"508",-63310.788736396,11,2,0,100
"509",-54286.7824624239,11,2,0,100
"510",-59251.1586589275,11,2,0,100
"511",-62426.0500724367,11,2,0,100
"512",-68083.1696365493,11,2,0,100
"513",-65147.7101233102,11,2,0,100
"514",-64328.6558796721,11,2,0,100
"515",-66808.4953056509,11,2,0,100
"516",-66241.4685076575,11,2,0,100
"517",-61857.6786289804,11,2,0,100
"518",-47090.1258673559,11,2,0,100
"519",-68249.2004114673,11,2,0,100
"520",-65640.5888725249,11,2,0,100
"521",-73335.2724909324,11,2,0,100
"522",-65392.6763304342,11,2,0,100
"523",-72564.0093114758,11,2,0,100
"524",-77546.472384181,11,2,0,100
